MedCodeId	Observations	Term	SnomedCTConceptId	Classification
a12084851000006113	1	Vaso-occlusive pain co-occurrent and due to sickle cell disease	b769167005	Inherited
a32415701	1	Antianaemic poisoning NOS	b90687000	
a8212361000006113	1	Anaemia in chronic kidney disease stage 5	b691411000119101	
a9326831000006113	1	Anaemia following acute postoperative blood loss	b10762261000119105	
a14175011000006111	1	Anaemia due to chronic kidney disease stage 1	b691381000119104	
a294179012	1	Other specified constitutional aplastic anaemia	b267525005	
a14474281000006114	1	Anaemia due to enzyme disorder	b351181000119103	
a8261001000006118	1	Education about sickle cell disease and thalassaemia	b811421000000105	Inherited
a691050100000611	1	Sickle cell-haemoglobin C disease without crisis	b417683006	Inherited
a6904731000006115	1	Sickle cell anemia crisis	b417279003	Inherited
a6897941000006112	1	Sickle cell-thalassemia disease with crisis	b416826005	Inherited
a6842771000006111	1	Anemia due to blood loss	b413532003	
a785784100000611	1	Acquired iron deficiency anaemia due to blood loss	b724556004	
a7869351000006117	1	Severe congenital hypochromic sideroblastic anemia	b725463007	Inherited
a7087751000006112	1	Drug induced anaemia	b428383000	
a7087761000006114	1	Drug induced anemia	b428383000	
a7087781000006116	1	Anaemia caused by medication	b428383000	
a98611000006117	1	Toxic aplastic anaemia	b191248000	
a7288151000006116	1	Acute sickle cell splenic sequestration crisis	b444108000	Inherited
